CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
end with riser,"Select to add a riser to the end of the run. Clear to remove the ending riser. Clearing this option will change the number of risers in the run. You will need to manually add or remove risers to maintain the original height.
Note: If End with Riser is selected, then a notch connection method cannot be used for the run end.",IfcStair,ActualErectionDate,Date erected.,Pset_PrecastConcreteElementFabrication,IfcDateTime,0.273394972,1.36697486,1,Position and Topology ,Structural Properties,Project Information,,Different,Not Equivalent,1
fascia depth,"The fascia board is the long, straight board that runs along the lower edge of the roof. The fascia is fixed directly to the lower ends of the roof trusses and usually does all the work of supporting the lower edge of the bottom row of tiles.the extent downward or backward or inward",IfcRoof,ThermalTransmittance,"Thermal transmittance coefficient (U-Value) of a material.
Here the total thermal transmittance coefficient through the roof surface (including all materials).",Pset_RoofCommon,IfcThermalTransmittanceMeasure,0.318187475,1.590937375,2.7,Structural Properties,Geometry,Structural Properties,,Different,Partial Equivalent,2
relate to mass,Indicates that the element was created from a mass element. This is a read-only value.,IfcWall,LiftingStrength,The minimum required compressive strength of the concrete when the concrete element is lifted.,Pset_PrecastConcreteElementGeneral,IfcPressureMeasure,0.352011561,1.760057805,1.2,Software-dependent Analytics,,Structural Properties,,Different,Not Equivalent,1
number of tread,a symbol used to represent a numberused to indicate specific identity or a particular item within a categorythe horizontal parts which people step on.,IfcStair,WarrantyIdentifier,The identifier assigned to a warranty.,Pset_Warranty,IfcIdentifier,0.475394368,2.37697184,1,Geometry,,Identity,Facility Information,Different,Not Equivalent,1
rebar cover interior face,"Rebar, also known as reinforcement steel and reinforcing steel, is a steel bar or mesh of steel wires used in reinforced concrete and masonry structures to strengthen and hold the concrete in tension. To improve the quality of the bond with the concrete, the surface of rebar is often patternedCover refers to the distance between the outside of a concrete structure and the reinforcement.the region that is inside of somethingBuilding face means the general outer surface of any exterior wall of a building or other structure",IfcWall,ConcreteCover,The protective concrete cover at the reinforcing bars according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.560360551,2.801802755,4,Structural Properties,,Structural Properties,,"Same,Different Constrain",Fully Equivalent,4
asset identifier,"Asset identification is an important process for organizations that manage a variety of fixed or movable assets, and it is an essential component of an overall asset tracking system. Here s a look at the methods of asset identification, best practices, and more.",IfcWall,GlobalTradeItemNumber,The Global Trade Item Number (GTIN) is an identifier for trade items developed by GS1 (www.gs1.org).,Pset_ManufacturerTypeInformation,IfcIdentifier,0.28866601,1.44333005,1.5,Identity,Facility Information,Facility Information,,Different,Partial Equivalent,2
actual riser height,"taking place in reality; not pretended or imitatedthe height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the vertical dimension of extension; distance from the base of something to the top",IfcStair,RiserHeight,"Vertical distance from tread to tread. 
The riser height is supposed to be equal for all steps of a stair or stair flight.",Pset_StairCommon,IfcPositiveLengthMeasure,0.397092283,1.985461415,5,Geometry,Position and Topology ,Geometry,Position and Topology ,"Same,Same Constrain",Fully Equivalent,5
omni class number,"OmniClass is a comprehensive classification system for the construction industry.A number is a mathematical object used to count, measure, and label. ",IfcBeam,Span,"Clear span for this object.

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence. For geometry editing applications, like CAD: this value should be write-only.",Pset_BeamCommon,IfcPositiveLengthMeasure,0.371127069,1.855635345,1,Identity,,Geometry,,Different,Not Equivalent,1
extend below base,"Specifies a distance to extend the run below the base level of the stair. This is useful in cases where the run attaches to the face of a floor opening rather than resting on the surface of the floor. To extend the run below the floor, enter a negative number.",IfcStair,NumberOfTreads,Total number of treads included in the stair.,Pset_StairCommon,IfcCountMeasure,0.366837293,1.834186465,1,Geometry,,position and Topology ,,Different,Not Equivalent,1
mark,Identifies or enumerates a particular instance as specified by the user.,IfcDoor,SerialNumber,The serial number assigned to an occurrence of a product.,Pset_ManufacturerOccurrence,IfcIdentifier,0.387776256,1.938881278,2.7,Identity,,Identity,Project Information,"Same,Different Constrain",Partial Equivalent,3
seat depth,"Connections that join structural steel members with metal connectors, such as an angle upon which one member, such as a beam, rests.the extent downward or backward or inward. the extent downward or backward or inward",IfcBeam,CrossSectionArea,Total area of the cross section (or profile) of the beam.,Qto_BeamBaseQuantities,ENUM,0.401533604,2.007668018,2.2,Geometry,Structural Properties,Geometry,,Different,Partial Equivalent,2
warranty guarantor parts,"A warranty is a representation made by one party upon which another party may rely. It is not the same as a guarantee (which is a promise to stand for the debt of another) even though many contracts use the terms interchangeably. Warranties may be express (written in the contract or stated orally), implied (by the common law) or statutory (set forth in a state s statutes).Various short-term insurance com- panies (or guarantors) are issuing construction guarantees on behalf of contractors to provide a benefit to employers upon the occurrence of certain eventualities relating to the failure of the contractor to perform its obligations under the PBA.a portion or division of a whole that is separate or distinct; piece, fragment, fraction, or section; constituent:",IfcWall,WarrantyPeriod,The time duration during which a manufacturer or supplier guarantees or warrants the performance of an artefact.,Pset_Warranty,IfcDuration,0.433961242,2.16980621,4,Project Information,,Project Information,,"Same,Different Constrain",Fully Equivalent,4
